"id","text","aspectTerms__aspectTerm__term","aspectTerms__aspectTerm__polarity","aspectTerms__aspectTerm__from","aspectTerms__aspectTerm__to","aspectCategories__aspectCategory__category","aspectCategories__aspectCategory__polarity"
"3545","I wouldn't mind going back some time, but not before trying others nearby.","","","","","anecdotes/miscellaneous","conflict"
"2968","Nice ambiance, nice little bar, good bartender, Francois, and good service.","bar","positive","27","30","service","positive"
"","","bartender","positive","37","46","ambience","positive"
"","","service","positive","67","74","",""
"","","ambiance","positive","5","13","",""
"210","I found this restaurant to be one that truly values its patrons.","","","","","anecdotes/miscellaneous","positive"
"382","The calamari comes with an incredible sauce, and the duck noodles are yummy as well.","calamari","positive","4","12","food","positive"
"","","sauce","positive","38","43","",""
"","","duck noodles","positive","53","65","",""
"1715","I would definitely go back -- if only for some of those exotic martinis on the blackboard.","martinis","positive","63","71","food","positive"
"1517","For some reason the place was empty when we got in and remained so for the entire evening, I don't understand why but we had a blast and will definately go back the next time we are in the area.","","","","","anecdotes/miscellaneous","positive"
"611","Simple comfort food and what hot and lage portions.","comfort food","positive","7","19","food","positive"
"","","portions","positive","42","50","",""
"2379","But I just would like to say I read the reviews people left and thats why I checked it out.","","","","","anecdotes/miscellaneous","neutral"
"1643","Stay away from the two specialty rolls on the menu, though- too much avocado and rice will fill you up right quick.","rolls","negative","33","38","food","negative"
"","","menu","neutral","46","50","",""
"","","avocado","negative","69","76","",""
"","","rice","negative","81","85","",""
"2305","I've eaten at Pizza Gruppo a few times, but more often I order delivery.","","","","","anecdotes/miscellaneous","neutral"
"2989","We didn't get drink refills and she didn't even offer us the option of dessert.","drink refills","negative","14","27","service","negative"
"","","dessert","neutral","71","78","",""
"848","Beautiful experience.","","","","","anecdotes/miscellaneous","positive"
"2156","The bagels are also reasonably priced for NYC.","bagels","positive","4","10","price","positive"
"","","priced","positive","31","37","",""
"1966","If you can handle that, it's a great place for a business dinner, fun with friends or simply a table for 2.","business dinner","positive","49","64","anecdotes/miscellaneous","positive"
"","","table","positive","95","100","",""
"2088","Decor leaves something to be desired.","Decor","negative","0","5","ambience","negative"
"1150","Jimmy is Dominican!","","","","","anecdotes/miscellaneous","neutral"
"185","Also, specify if you like your food spicy- its rather bland if you don't.","food","neutral","31","35","food","neutral"
"1710","Our waiter was fine, the place looks nice in that not-trying-too-hard way, but at those prices, a little more should be expected of your food.","waiter","positive","4","10","service","positive"
"","","place","positive","25","30","ambience","positive"
"","","prices","negative","88","94","price","negative"
"","","food","negative","137","141","food","negative"
"2610","Coming from Boston this place is like Emma's Pizza in Kendall Square in Cambridge (although they have more funky toppings!)","toppings","positive","113","121","anecdotes/miscellaneous","neutral"
"649","When my husband and go there, we spend $60.00 (have LOBSTER TAILS UMMMMM need I say more) I can't say any more, it a place you'll never forget If you never go, you'll miss A Meal of your life time","place","positive","117","122","food","positive"
"","","Meal","positive","174","178","anecdotes/miscellaneous","positive"
"","","LOBSTER TAILS","positive","52","65","price","positive"
"3450","in an effort to increase turnover, the restaurant offers no desserts beyond the complimentary espresso cup filled with chocolate mousse.","espresso cup filled with chocolate mousse","positive","94","135","service","neutral"
"","","desserts","negative","60","68","",""
"974","I've been to this restaurant more than a dozen times and when I'm craving for Pho, Lemon grass chicken or Beef Cube on rice, this is the place to go.","Pho","positive","78","81","food","positive"
"","","Lemon grass chicken","positive","83","102","",""
"","","Beef Cube on rice","positive","106","123","",""
"3089","Oh yes, and if you are a fan of Indian oldies film stars, there are plenty of portraits of Indian actors and actresses in classic black white that adorn the walls, some of which, I would love to know where they obtained.","portraits","positive","78","87","ambience","positive"
"647","The food is spectacular, from the appitizers to the main course, and then of course the desserts, (WOW) you'll need no more.","food","positive","4","8","food","positive"
"","","appitizers","positive","34","44","",""
"","","main course","positive","52","63","",""
"","","desserts","positive","88","96","",""
"2954","The neighborhood was nice though so check out another restaurant instead.","","","","","anecdotes/miscellaneous","negative"
"378","My fish was delicious in an incredible curry sauce.","fish","positive","3","7","food","positive"
"","","curry sauce","positive","39","50","",""
"490","If you are in search of the most authentic NYC deli experience look no further than the famous and historic Katz's Deli down on the Lower East Side.","deli","positive","47","51","anecdotes/miscellaneous","positive"
"3245","Even upon delivery, their juicy pork buns are quite good . .","pork buns","positive","32","41","food","positive"
"1426","This is also where I was from.","","","","","anecdotes/miscellaneous","neutral"
"1992","Everything is for sale in here including the sculptured iron statue on the table.","","","","","anecdotes/miscellaneous","neutral"
"414","Average to good Thai food, but terrible delivery.","Thai food","positive","16","25","food","positive"
"","","delivery","negative","40","48","service","negative"
"1857","The space is nice but when we order our drink we were in for a surprise.","space","positive","4","9","anecdotes/miscellaneous","neutral"
"","","drink","negative","40","45","ambience","positive"
"164","The entire place and the treatment we received felt as a conveyor belt.","place","negative","11","16","service","negative"
"","","","","","","ambience","negative"
"1480","Joe's Pizza used to have the best slice until this pizzeria opened up.","slice","positive","34","39","anecdotes/miscellaneous","positive"
"904","I in all reality felt as if I had just gotten off Air France and was in the 8th District in Paris.","","","","","ambience","positive"
"3094","I have never had anything like it!","","","","","anecdotes/miscellaneous","positive"
"1717","Yeah the crowd can take it a bit seriously, but it shouldn't.","","","","","anecdotes/miscellaneous","neutral"
"3663","And they provided a delicious dessert on the house!","dessert","positive","30","37","food","positive"
"","","","","","","price","positive"
"","","","","","","service","positive"
"3250","They are still living in the dark ages and do not have an answering machine, so if you want to make a reservation you are limited.","reservation","negative","102","113","service","negative"
"3366","The food is amazing, rich pastas and fresh doughy pizza.","food","positive","4","8","food","positive"
"","","pastas","positive","26","32","",""
"","","pizza","positive","50","55","",""
"3073","Food was very good, but not what I would consider out of this world.","Food","positive","0","4","food","positive"
"3303","I had Lobster Bisque it has 2 oz. of Maine Lobster in it.","Lobster Bisque","positive","6","20","food","positive"
"","","Maine Lobster","positive","37","50","",""
"1299","I am Indian, and I have tried many Indian places in NY.","","","","","anecdotes/miscellaneous","neutral"
"704","Try the Pad Thai, it's fabulous and their prices are so cheap!","Pad Thai","positive","8","16","food","positive"
"","","prices","positive","42","48","price","positive"
"2488","On a recent Saturday night, I was with a group of 5 at the Bread Bar.","","","","","anecdotes/miscellaneous","neutral"
"1839","Food is great and inexpensive.","Food","positive","0","4","food","positive"
"","","","","","","price","positive"
"1756","The price very reasonable.","price","positive","4","9","price","positive"
"29","Dessert - can't be missed, so save room!!!","Dessert","positive","0","7","food","positive"
"484","It can be a little confusing as to where one goes to order, but once the food is ordered, you are in for a treat.","food","positive","73","77","food","positive"
"1993","Take a good sense of humor,an American express card with no limit, walk out with a lollipop,gift bag in hand and enough marketing materials for alain to to take the show on the road","","","","","price","negative"
"2574","Ingredients are organic which is a real plus for me.","Ingredients","positive","0","11","food","positive"
"3595","It was so bad I actually refused to pay for my food.","food","negative","47","51","anecdotes/miscellaneous","negative"
"","","","","","","food","negative"
"1097","I recommend this spot to anyone who enjoys  fine cuisine at reasonable prices.","cuisine","positive","49","56","anecdotes/miscellaneous","positive"
"","","prices","positive","71","77","food","positive"
"","","","","","","price","positive"
"2844","This is, by far, my favorite restaurant in NYC and I only wish it were more affordable so I could go more often!","","","","","anecdotes/miscellaneous","positive"
"","","","","","","price","negative"
"2692","The staff was very attentive, the ambience lovely, and the food superb.","staff","positive","4","9","food","positive"
"","","ambience","positive","34","42","service","positive"
"","","food","positive","59","63","ambience","positive"
"2590","I love when restaurants think using fancy expensive ingrediants makes the food fine cuisine, even with no idea how to use them.","ingrediants","positive","52","63","food","negative"
"","","cuisine","positive","84","91","",""
"","","food","positive","74","78","",""
"71","THe Pizza and wine were excellent-the service too--but what really MADE this place was the backyard dining area.","Pizza","positive","4","9","food","positive"
"","","wine","positive","14","18","service","positive"
"","","service","positive","38","45","ambience","positive"
"","","backyard dining area","positive","91","111","",""
"1584","THE FRANKENSTEIN SHOW WAS THE BEST.","","","","","anecdotes/miscellaneous","positive"
"2957","The waiters are sweet, the food is tasty and the bill is never too large.","waiters","positive","4","11","food","positive"
"","","food","positive","27","31","service","positive"
"","","bill","positive","49","53","price","positive"
"2235","As a fan of Thai, I have tried quite a few different restaurants in NYC and this one was definitely the worst.","","","","","anecdotes/miscellaneous","negative"
"3633","The service was superb, they treat you like family.","service","positive","4","11","service","positive"
"2696","We all had the tasting menu and unlike some of the other reviews, I felt there was more than enough food.","menu","positive","23","27","anecdotes/miscellaneous","neutral"
"","","food","positive","100","104","food","positive"
"1186","It only took about five or so minutes to get an empty table, but standing up wasn't too bad.","table","positive","54","59","service","positive"
"3224","The menu may be small, but everything on it is delicious.","menu","negative","4","8","food","conflict"
"1154","Too bad Latin Quarters closed.","","","","","anecdotes/miscellaneous","neutral"
"935","They had scrapped the bottom of the vessel in which they make the rice -RESULT - WE HAD LARGE CHUNKS OF BURNT RICE IN OUR SERVING BOWL.","rice","negative","66","70","food","negative"
"","","RICE","negative","110","114","",""
"3306","It was divine melts in your mouth.","","","","","food","positive"
"2312","Stumbled upon this gem of a pizza place and I will be going back frequently.","","","","","anecdotes/miscellaneous","positive"
"1742","I live a block away and go to Patsy's frequently.","","","","","anecdotes/miscellaneous","neutral"
"3355","- for dessert we split chocolate cake and vanilla gelato (with espresso), which were tasty, but I thought a bit overpriced.","chocolate cake","conflict","23","37","food","positive"
"","","vanilla gelato (with espresso)","conflict","42","72","price","negative"
"","","dessert","conflict","6","13","",""
"331","When I visited my friend who lives in the Upper Eastside, she recommended that we go to this restaurant.","","","","","anecdotes/miscellaneous","neutral"
"637","Warm, comfortable surroundings, nice appointments (witness the etched glass and brickwork separating the dining rooms).","surroundings","positive","18","30","ambience","positive"
"","","dining rooms","neutral","105","117","",""
"2029","We ran a little late for the reservation but it wasn't a problem to get our table immediately.","reservation","neutral","29","40","anecdotes/miscellaneous","neutral"
"","","table","positive","76","81","service","positive"
"2258","Kudos Haru","","","","","anecdotes/miscellaneous","positive"
"2341","We arrived on time for our reservation and seated promptly.The","reservation","positive","27","38","anecdotes/miscellaneous","neutral"
"","","","","","","service","positive"
"679","I plan on eating here more often.","","","","","anecdotes/miscellaneous","positive"
"2004","I would definitely go back for a very special occasion, but not for regular fine dining.","dining","neutral","81","87","anecdotes/miscellaneous","conflict"
"644","The well mannered, pleasant staff that Tony has in his employ.","staff","positive","28","33","service","positive"
"2007","The flavors robust and subtle.","flavors","positive","4","11","food","positive"
"723","I came here for my friend's birthday and keep coming back ever since.","","","","","anecdotes/miscellaneous","positive"
"314","All I can say is $2 pints during happy hour and the some of the cheapest oysters you'll find in the city, though the quality is some of the best.","oysters","positive","73","80","food","positive"
"","","quality","positive","117","124","price","positive"
"3107","I would never wait for a table to eat, it just is not THAT great.","table","neutral","25","30","anecdotes/miscellaneous","negative"
"580","We concluded with tiramisu chocolate cake, both were delicious.","tiramisu chocolate cake","positive","18","41","food","positive"
"1295","The counter service is bad.","counter service","negative","4","19","service","negative"
"1590","I had a grat time at Jekyll and Hyde!","","","","","anecdotes/miscellaneous","positive"
"2701","Service here was great, food was fantastic.","Service","positive","0","7","food","positive"
"","","food","positive","24","28","service","positive"
"2514","its a little out of the way if you don't live in the neighborhood, but definitely worth the trip from wherever you are.","","","","","anecdotes/miscellaneous","conflict"
"997","This is such a lovely, peaceful place to eat outside.","place","positive","32","37","ambience","positive"
"470","and we were thouroughly disapointed.","","","","","anecdotes/miscellaneous","negative"
"2730","This is the Jackel and Hideof the restaurants on the UES.","","","","","anecdotes/miscellaneous","neutral"
"1491","The sauce is delicious and the crust is perfect.","sauce","positive","4","9","food","positive"
"","","crust","positive","31","36","",""
"1001","This is a great place to take out-of-towners, and perfect for watching the sunset.","","","","","anecdotes/miscellaneous","positive"
"","","","","","","ambience","positive"
"906","Since my first dinner I have had the chance to have brunch at Orsay 3x.","dinner","neutral","15","21","anecdotes/miscellaneous","neutral"
"","","brunch","neutral","52","58","",""
"758","You will pay a lot for the decore, but the food is no better or worse than a lot of other Chinese and Asian fusion places in NY.","decore","negative","27","33","food","neutral"
"","","food","neutral","43","47","price","negative"
"","","","","","","ambience","negative"
"1601","They have some great entrees here as well.","entrees","positive","21","28","food","positive"
"2877","Our teenage kids love it, too.","","","","","anecdotes/miscellaneous","positive"
"2195","The service is not consistently excellent -- just decent.","service","neutral","4","11","service","neutral"
"1917","The food, served in small tasting portions (as an option) is very good with each dish being better than the next.","food","positive","4","8","food","positive"
"","","served","neutral","10","16","",""
"","","portions","positive","34","42","",""
"","","dish","positive","81","85","",""
"1796","You guys are awesome!","","","","","anecdotes/miscellaneous","positive"
"2252","They do cater to American palates, but if you like it hot let them know and they are more than willing to oblige!","cater","positive","8","13","food","positive"
"","","","","","","service","positive"
"3679","I loved this place!!","","","","","anecdotes/miscellaneous","positive"
"3668","I had the mango chicken and i can't go on to tell you how delicious that was and the presentation was beatiful.","mango chicken","positive","10","23","food","positive"
"","","presentation","positive","85","97","",""
"928","I care more about the food and ambience.","food","neutral","22","26","food","neutral"
"","","ambience","neutral","31","39","ambience","neutral"
"1794","Oh, but wait, we were out of drinks (which were also delightfully overpriced).","drinks","negative","29","35","food","negative"
"","","","","","","price","negative"
"3652","Avoid at all costs.","","","","","anecdotes/miscellaneous","negative"
"2853","I would highly recommend this place to everyone for any occasion!","","","","","anecdotes/miscellaneous","positive"
"1163","The service is fantastic.","service","positive","4","11","service","positive"
"216","I recommend that you try this hidden spot which will surely blowup very soon","","","","","anecdotes/miscellaneous","positive"
"1109","The garlic mashed potatoes are hands down the best in the city!","garlic mashed potatoes","positive","4","26","food","positive"
"899","Food and service was okay.","Food","neutral","0","4","food","neutral"
"","","service","neutral","9","16","service","neutral"
"1349","great for a romantic evening, or a fun evening with friends...","","","","","ambience","positive"
"934","The lamb meat was under-cooked and EXTRMELY CHEWY.","lamb meat","negative","4","13","food","negative"
"2199","The best pad thai i've ever had.","pad thai","positive","9","17","food","positive"
"188","Over time, the food quality has decreased substantially, it is a lot less crowded than it used to, and the service must definitely be part of the reason.","food quality","negative","15","27","food","negative"
"","","service","negative","107","114","service","negative"
"1748","Great pizza and fantastic service.","pizza","positive","6","11","food","positive"
"","","service","positive","26","33","service","positive"
"949","We were seated outside and the waiter spilled red wine and hot tea on myself and my date.","waiter","negative","31","37","service","negative"
"","","red wine","neutral","46","54","",""
"","","hot tea","neutral","59","66","",""
"","","outside","neutral","15","22","",""
"390","i would just ask for no oil next time.","oil","negative","24","27","anecdotes/miscellaneous","neutral"
"885","While this is a pretty place in that overly cute French way, the food was insultingly horrible.","place","positive","23","28","food","negative"
"","","food","negative","65","69","ambience","positive"
"1428","I went there for lunch and it was not as good as I expected from the reviews I read.","lunch","neutral","17","22","anecdotes/miscellaneous","negative"
"826","I really didn't know what to expect for a restaurant that literally overlooks the main hall of Grand Central.","","","","","anecdotes/miscellaneous","neutral"
"1053","None of that yucky whipped stuff.","","","","","food","positive"
"1639","The wine list isn't great, and the desserts are shipped in from Bruno's down the street, which is not as good as it used to be.","wine list","negative","4","13","food","negative"
"","","desserts","negative","35","43","",""
"1417","I ordered a Lassi and asked 4 times for it but never got it.","Lassi","neutral","12","17","service","negative"
"3159","Their coffee is quite good too!","coffee","positive","6","12","food","positive"
"190","I would not recommend this place to anyone.","","","","","anecdotes/miscellaneous","negative"
"363","great wine list (italian), good food, service was INITIALLY fine.","wine list","positive","6","15","food","positive"
"","","food","positive","32","36","service","conflict"
"","","service","conflict","38","45","",""
"2856","Despite the fact that the space is large, they've overcrowded the floor with tables.","space","positive","26","31","ambience","negative"
"","","tables","negative","77","83","",""
"1811","i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.","","","","","service","negative"
"1030","As far as the service goes, the waitresses were not particularly friendly, but they got the job done.","service","conflict","14","21","service","conflict"
"","","waitresses","conflict","32","42","",""
"2838","They are not helpful in the least and will give you the grand run around so by the time the event date rolls around you will not only regret chosing this place, but also become hostile!","place","negative","154","159","service","negative"
"3149","I had to ask her three times before she finally came back with the dish Ive requested.","dish","neutral","67","71","service","negative"
"2780","Normally that would be improper, however they were all delicious and my host did not complain.","host","neutral","72","76","food","positive"
"1782","Taxan delicious!","Taxan","positive","0","5","food","positive"
"403","Perhaps it was an off night, but it was suprisingly average for a 9.3 rating.","","","","","anecdotes/miscellaneous","negative"
"3696","Unlike other places in NYC where the sandwiches you want only come as a triple-decker, here you can get what you want in a reasonably-sized portion (and price).","sandwiches","negative","37","47","food","conflict"
"","","price","positive","153","158","price","positive"
"","","portion","positive","140","147","",""
"3419","Southern Indian cuisine is still there, too.","Southern Indian cuisine","neutral","0","23","food","neutral"
"468","Restaurant snobs need not bother, this is a small, neighborhood kind of place.","place","positive","72","77","anecdotes/miscellaneous","neutral"
"2876","Have been dozens of times and never failed to enjoy the experience.","","","","","anecdotes/miscellaneous","positive"
"2655","They couldn't even make a salad that was appealing.","salad","negative","26","31","food","negative"
"3570","For two people with tip was less than $25 bucks.","tip","neutral","20","23","price","positive"
"2129","Killer Sushi!","Sushi","positive","7","12","food","positive"
"206","Of course the reason its so packed is because the food is so delicious!","food","positive","50","54","food","positive"
"3038","Staffs are not that friendly, but the taste covers all.","Staffs","negative","0","6","food","positive"
"","","taste","positive","38","43","service","negative"
"3365","The jukebox plays everything from Italian Opera to The Strokes.","jukebox","positive","4","11","ambience","neutral"
"3708","And I've been to many NYC delis.","","","","","anecdotes/miscellaneous","neutral"
"2068","This place is always packed.","","","","","anecdotes/miscellaneous","neutral"
"1102","Much of the time it seems like they do not care about you.","","","","","service","negative"
"2742","Plus they made a perfect martini.","martini","positive","25","32","food","positive"
"278","I am not sure if I would call the food here Indian as it is a fusion of what seems to be French with an Indian or exotic touch.","food","neutral","34","38","food","neutral"
"3183","I've eaten thai many times, and am very familiar with the cuisine.","cuisine","neutral","58","65","anecdotes/miscellaneous","neutral"
"817","The waiter was attentive.","waiter","positive","4","10","service","positive"
"353","Their Margarita is best I've had since I've returned from Naples!","Margarita","positive","6","15","food","positive"
"1932","I highly recommend the restaurant based on our experience last night.","","","","","anecdotes/miscellaneous","positive"
"213","The tastes makes your mouth water for more.","tastes","positive","4","10","food","positive"
"2214","I came into the city to try out this restaurant because a friend had recommended it to my husband.","","","","","anecdotes/miscellaneous","neutral"
"2261","Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!","sake list","positive","6","15","food","positive"
"","","Purple Haze","conflict","55","66","service","positive"
"2772","The tables are crammed way too close, the menu is typical of any Italian restaurant, and the wine list is simply overpriced.","tables","negative","4","10","food","neutral"
"","","menu","neutral","42","46","ambience","negative"
"","","wine list","negative","93","102","price","negative"
"3458","All in all a wonderful experience, can't wait to come back.","","","","","anecdotes/miscellaneous","positive"
"2979","The food was actually aweful.","food","negative","4","8","food","negative"
"3344","after dining at B.O.G over twenty times now, its official !","","","","","anecdotes/miscellaneous","neutral"
"2399","They are served with a free appetizer and the portions are perfect for lunch.","appetizer","positive","28","37","food","positive"
"","","portions","positive","46","54","price","positive"
"","","served","neutral","9","15","",""
"","","lunch","neutral","71","76","",""
"3520","There is actually space to breathe and the decor sets the tone for an intimate dinner.","space","positive","18","23","ambience","positive"
"","","decor","positive","43","48","",""
"","","dinner","neutral","79","85","",""
"2263","We went around 9:30 on a Friday and it had died down a bit by then so the service was great!","service","positive","74","81","service","positive"
"1902","My husband and I both ordered the Steak, medium.","Steak","neutral","34","39","food","neutral"
"","","","","","","anecdotes/miscellaneous","neutral"
"341","Furthermore, the rice had no seasoning, so the sushi was bland and disgusting.","rice","negative","17","21","food","negative"
"","","sushi","negative","47","52","",""
"","","seasoning","negative","29","38","",""
"1649","This place has realy fresh sushi and a nice large menu of Japanese classic cuisine.","sushi","positive","27","32","food","positive"
"","","menu","positive","50","54","",""
"","","Japanese classic cuisine","positive","58","82","",""
"1195","The sushi is average and the prices are anything but.","sushi","neutral","4","9","food","neutral"
"","","prices","neutral","29","35","price","negative"
"3247","My wife and I also enjoyed the spinach, the Shanghai low mein, and other attractions.","spinach","positive","31","38","food","positive"
"","","Shanghai low mein","positive","44","61","",""
"1693","Owner must have coem on this website to give himself credit.","Owner","neutral","0","5","anecdotes/miscellaneous","neutral"
"1496","Turned out there was full service upstairs and sat down.","service","positive","26","33","anecdotes/miscellaneous","neutral"
"918","I would go back.","","","","","anecdotes/miscellaneous","positive"
"1653","Definitely will be back!","","","","","anecdotes/miscellaneous","positive"
"2387","Several of the dim sum orders had about 6-8 pieces.","dim sum orders","neutral","15","29","food","neutral"
"3326","I'm not sure why these other reviewers are whining so much.","","","","","anecdotes/miscellaneous","neutral"
"3388","they live up to the thai way of living.","","","","","anecdotes/miscellaneous","neutral"
"2382","If you have a dumpling fetish i suggest you try some here!","dumpling","positive","14","22","food","positive"
"517","Three page wine menu, one page entree and horedevous.","wine menu","positive","11","20","food","positive"
"","","entree","positive","31","37","",""
"","","horedevous","positive","42","52","",""
"1399","The food is consistently wonderful - I've been coming here for years, and the owner has always been accomodating and friendly.","food","positive","4","8","food","positive"
"","","owner","positive","78","83","service","positive"
"3488","The waiters and owners were nonchalant about this and promised to call the exterminator but weren't as dismayed or apologetic as I would have expected.","waiters","negative","4","11","service","negative"
"","","owners","negative","16","22","",""
"2423","I live nearby and when they first opened, I ate there a lot.","","","","","anecdotes/miscellaneous","neutral"
"3117","And the food was fantastic.","food","positive","8","12","food","positive"
"992","This is the kind of place you'd like to take all your friends to and still keep a secret.","","","","","anecdotes/miscellaneous","positive"
"1024","If you're looking for a place to sit down, have a drink and conversations with friends, go to sweet-n-tart and order yourself a hong-kong styled milk and tea with tapioca pearls (hot).","drink","neutral","50","55","food","positive"
"","","hong-kong styled milk","positive","128","149","ambience","positive"
"","","tea with tapioca pearls (hot)","positive","154","183","",""
"394","Aside from the Sea Urchin, the chef recommended an assortment of fish including Fatty Yellow Tail, Boton Shrimp, Blue Fin Torro (Fatty Tuna), Sea Eel, etc.","chef","neutral","31","35","food","neutral"
"","","assortment of fish","neutral","51","69","",""
"","","Fatty Yellow Tail","neutral","80","97","",""
"","","Boton Shrimp","neutral","99","111","",""
"","","Sea Eel","neutral","142","149","",""
"","","Sea Urchin","neutral","15","25","",""
"","","Blue Fin Torro (Fatty Tuna)","neutral","113","140","",""
"1483","They're also friendlier here, especially the owner, Kenny.","owner","positive","45","50","service","positive"
"2945","While the room is not particularly comfortable, once you're seated you'll forget about everything except what's on your plate.","room","negative","10","14","food","positive"
"","","plate","positive","120","125","ambience","negative"
"3487","I've lived in NYC all my life and had never before seen so many waterbugs in one place (except in a really bad dream).","waterbugs","negative","64","73","anecdotes/miscellaneous","neutral"
"","","","","","","ambience","negative"
"1701","Winnie and her staff are the best crew you can find serving you.","crew","positive","34","38","service","positive"
"","","staff","positive","15","20","",""
"","","serving","positive","52","59","",""
"464","The ambiance is minimal the food is not phenomenal, but some dishes are quite good, such as the eggplant parmesan, veal in carozza chicken saltimbocca.","ambiance","positive","4","12","food","conflict"
"","","food","negative","28","32","ambience","positive"
"","","dishes","positive","61","67","",""
"","","eggplant parmesan","positive","96","113","",""
"","","veal in carozza chicken saltimbocca","positive","115","150","",""
"2779","My host asked for appetizers for the group and the waiter gave us not only what we ordered, but some other items that were not ordered.","host","neutral","3","7","service","neutral"
"","","appetizers","neutral","18","28","",""
"","","waiter","neutral","51","57","",""
"1086","You can even get packages of the chutneys to stock your fridge!","chutneys","positive","33","41","food","positive"
"","","","","","","service","positive"
"2539","The bar has various selections and the mixed drink special is a catcher! 2 for 1's.","bar","positive","4","7","food","positive"
"","","mixed drink special","positive","39","58","",""
"180","Slightly on the pricey side but worth it!","","","","","price","conflict"
"2580","If it isn't for the food (A+++), it must be the service or the ambience.","food","positive","20","24","food","positive"
"","","service","positive","48","55","service","positive"
"","","ambience","positive","63","71","ambience","positive"
"3341","During the course of the past 3 months, the chef and staff changed and it was not for the better.","chef","negative","44","48","service","negative"
"","","staff","negative","53","58","food","negative"
"722","I like the ambience, it's very dark and original.","ambience","positive","11","19","ambience","positive"
"57","Not the typical NYC gimmick theme restaurant.","","","","","ambience","positive"
"832","We were exploring Grand Central and didn't want to eat in the food court.","","","","","anecdotes/miscellaneous","neutral"
"3685","Overall, not worth the money.","money","negative","23","28","price","negative"
"346","This place is not worth the prices.","prices","negative","28","34","price","negative"
"2672","We left after one drink.","drink","neutral","18","23","anecdotes/miscellaneous","neutral"
"295","Everything that happened was not even up to mediocre.","","","","","anecdotes/miscellaneous","negative"
"3296","Our last time there a few weeks ago was early at 5pm and it was very crowded and noisy.","","","","","ambience","negative"
"1231","Pick a bagel has the best bagels in the city.","bagels","positive","26","32","food","positive"
"1676","You are paying for the atmosphere, which is nice, but can be had in numerous places in Bay Ridge.","atmosphere","conflict","23","33","ambience","conflict"
"2547","It's called Gnochi alla nona and is found under Chef Specials.","","","","","food","neutral"
"72","It is one the nicest outdoor restaurants I have ever seen in NY--I am from Italy and this place rivals the ones in my country.","","","","","ambience","positive"
"3666","Yes you have to wait to be seated and because its small there is no waiting area and the seat at the bar was all taken.","waiting area","negative","68","80","ambience","negative"
"","","seat","negative","89","93","",""
"","","bar","neutral","101","104","",""
"","","wait","negative","16","20","",""
"2210","The last two times I ordered from here my food was soo spicy that  I could barely eat it, and the spice took away from the flavor of the dish.","food","negative","42","46","food","negative"
"","","flavor","negative","123","129","",""
"","","dish","negative","137","141","",""
"","","spice","negative","98","103","",""
"1699","The fried dumplings are GREAT!","fried dumplings","positive","4","19","food","positive"
"147","This place has the best Chinese style BBQ ribs in the city.","BBQ ribs","positive","38","46","food","positive"
"2051","Ive been here so many times the waiters know my name.","waiters","neutral","32","39","anecdotes/miscellaneous","neutral"
"862","The decor is very simple but comfortable.","decor","conflict","4","9","ambience","conflict"
"1920","I've been frequenting The Tasting Room since it first arrived in the East Village and I've never been disappointed.","","","","","anecdotes/miscellaneous","positive"
"3638","We figured we never had Argentinian Pizza before so we grabbed our lunch there, sharing a large Pelligrino, a pizza of two of their specials, one was goat cheese the other blue cheese, and both were excellent.","Argentinian Pizza","neutral","24","41","food","positive"
"","","lunch","neutral","67","72","",""
"","","Pelligrino","positive","96","106","",""
"","","pizza","positive","110","115","",""
"","","goat cheese","positive","150","161","",""
"","","blue cheese","positive","172","183","",""
"54","Heartland Brewery is a great way to start or finish your day.","","","","","anecdotes/miscellaneous","positive"
"3088","The 'kamasutra' and 'bombay cosmopolitan' are excellent and will have you tipsy in no time.","kamasutra","positive","5","14","food","positive"
"","","bombay cosmopolitan","positive","21","40","",""
"3364","This is the perfect date spot for Williamsburg couples.","date spot","positive","20","29","anecdotes/miscellaneous","positive"
"2083","The dim sum here is only so-so.","dim sum","neutral","4","11","food","neutral"
"1245","It was raining, and we figured why not?","","","","","anecdotes/miscellaneous","neutral"
"1411","$6 and there is much tasty food, all of it fresh and continually refilled.","food","positive","27","31","food","positive"
"","","","","","","price","positive"
"1566","Just straight up cheap, good food.","food","positive","29","33","food","positive"
"","","","","","","price","positive"
"3617","Another welcome addition to the neighborhood.","","","","","anecdotes/miscellaneous","positive"
"126","Seating is ok even though sometimes there's alot of people.","Seating","neutral","0","7","ambience","conflict"
"1146","This time, I prefer not to go into detail.","","","","","anecdotes/miscellaneous","neutral"
"1985","Even with a relatively inexpensive botle of wine, if you can call $70.00 inexpensive, the cost is through the roof for better than average fare.","cost","negative","90","94","price","negative"
"","","botle of wine","conflict","35","48","",""
"2320","Service was slow, but the people were friendly.","Service","negative","0","7","service","conflict"
"","","people","positive","26","32","",""
"2103","Steamed fresh so brought hot hot hot to your table.","","","","","food","positive"
"2991","The steak was very fatty and the sauce was overpowering and not very tasty.","steak","negative","4","9","food","negative"
"","","sauce","negative","33","38","",""
"2268","My only problem is that you are literally sitting on top of the people next to you!","","","","","ambience","negative"
"3609","And affordable.","","","","","price","positive"
